HandID,TourneyID,RawData,Seat,Player,StartingStack,
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 2: PktRockets (2615 in chips),2,PktRockets,2615
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 3: pizarre+她92 (1500 in chips),3,pizarre+她92,1500
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1470 in chips),4,surfcamp171,1470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3040 in chips),5,gu_tascheck,3040
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (540 in chips),6,TXROPER1,540
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips) is sitting out,7,Actex12,1470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 8: marmagoa (840 in chips),8,marmagoa,840
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (580 in chips),9,gildedlilly,580
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (1605 in chips),1,Goldor999,1605
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 2: PktRockets (2585 in chips),2,PktRockets,2585
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 3: pizarre+她92 (1350 in chips),3,pizarre+她92,1350
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1320 in chips),4,surfcamp171,1320
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3040 in chips),5,gu_tascheck,3040
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (390 in chips),6,TXROPER1,390
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips) is sitting out,7,Actex12,1470
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 8: marmagoa (690 in chips),8,marmagoa,690
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:12 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (580 in chips),9,gildedlilly,580
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (5050 in chips),1,Goldor999,5050
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 2: PktRockets (2585 in chips),2,PktRockets,2585
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1270 in chips),4,surfcamp171,1270
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (1435 in chips),5,gu_tascheck,1435
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips) is sitting out,7,Actex12,1470
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 8: marmagoa (640 in chips),8,marmagoa,640
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:16:53 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (580 in chips),9,gildedlilly,580
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (5000 in chips),1,Goldor999,5000
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 2: PktRockets (2585 in chips),2,PktRockets,2585
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 3: Cristian fer 77 (1745 in chips),3,Cristian fer 77,1745
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1770 in chips),4,surfcamp171,1770
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (1085 in chips),5,gu_tascheck,1085
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1420 in chips) is sitting out,7,Actex12,1420
 8700+1300 Hold'em No Limit - Level III (25/50) - 2018/11/20 19:18:17 ET,1.93564E+11,2457182185,Seat 8: marmagoa (590 in chips),8,marmagoa,590
